Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day ,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level,,Location ,Time of Day,Day,Average Sound Level
Main gate,Morn,Tuesday,68.4733567,,Main gate,Noon,Tuesday,68.4560382,,Main gate,Afternoon,Tuesday,72.52078431,,Main gate,Morn,Wednesday,52.72375,,Main gate,Noon,Wednesday,,65.5508131,Main gate,Afternoon,Wednesday,66.67313725,,Main gate,Morn,Saturday,57.34784314,,Main gate,Noon,Saturday,63.3671134,,Main gate,Afternoon,Saturday,52.70509804,,Main gate,Morn,Sunday,60.30811287,,Main gate,Noon,Sunday,58.62425106,,Main gate,Afternoon,Sunday,45.99490196,,Nassau gate,Morn,Tuesday,57.2221287,,Nassau gate,Noon,Tuesday,77.4376,,Nassau gate,Afternoon,Tuesday,58.83327,,Nassau gate,Morn,Wednesday,51.29349789,,Nassau gate,Noon,Wednesday,66.4292901,,Nassau gate,Afternoon,Wednesday,60.34879,,Nassau gate,Morn,Saturday,60.00748035,,Nassau gate,Noon,Saturday,65.48295771,,Nassau gate,Afternoon,Saturday,58.29087365,,Nassau gate,Morn,Sunday,56.02725324,,Nassau gate,Noon,Sunday,65.70358849,,Nassau gate,Afternoon,Sunday,59.06535352,,Pearse gate,Morn,Tuesday,68.10882157,,Pearse gate,Noon,Tuesday,66.76973348,,Pearse gate,Afternoon,Tuesday,52.11804367,,Pearse gate,Morn,Wednesday,61.60650324,,Pearse gate,Noon,Wednesday,57.580188,,Pearse gate,Afternoon,Wednesday,68.322,,Pearse gate,Morn,Saturday,65.5320116,,Pearse gate,Noon,Saturday,66.6077502,,Pearse gate,Afternoon,Saturday,51.91117504,,Pearse gate,Morn,Sunday,56.80174556,,Pearse gate,Noon,Sunday,74.0238,,Pearse gate,Afternoon,Sunday,55.81255606
Main gate,Morn,Tuesday,71.200542,,Main gate,Noon,Tuesday,63.1781081,,Main gate,Afternoon,Tuesday,69.06823529,,Main gate,Morn,Wednesday,50.08772,,Main gate,Noon,Wednesday,,63.8738837,Main gate,Afternoon,Wednesday,65.52392157,,Main gate,Morn,Saturday,57.10627451,,Main gate,Noon,Saturday,67.0704145,,Main gate,Afternoon,Saturday,54.95215686,,Main gate,Morn,Sunday,60.95827776,,Main gate,Noon,Sunday,55.32997463,,Main gate,Afternoon,Sunday,48.02823529,,Nassau gate,Morn,Tuesday,57.63548208,,Nassau gate,Noon,Tuesday,76.562,,Nassau gate,Afternoon,Tuesday,57.58914,,Nassau gate,Morn,Wednesday,54.07161915,,Nassau gate,Noon,Wednesday,69.3520315,,Nassau gate,Afternoon,Wednesday,57.39077,,Nassau gate,Morn,Saturday,64.59138413,,Nassau gate,Noon,Saturday,71.20647359,,Nassau gate,Afternoon,Saturday,55.50706566,,Nassau gate,Morn,Sunday,52.37999063,,Nassau gate,Noon,Sunday,61.64585213,,Nassau gate,Afternoon,Sunday,64.89547049,,Pearse gate,Morn,Tuesday,66.84979789,,Pearse gate,Noon,Tuesday,67.34318557,,Pearse gate,Afternoon,Tuesday,54.40449149,,Pearse gate,Morn,Wednesday,68.21908449,,Pearse gate,Noon,Wednesday,58.50233587,,Pearse gate,Afternoon,Wednesday,64.3154,,Pearse gate,Morn,Saturday,65.68422596,,Pearse gate,Noon,Saturday,62.2489505,,Pearse gate,Afternoon,Saturday,55.23746838,,Pearse gate,Morn,Sunday,55.88842168,,Pearse gate,Noon,Sunday,73.1508,,Pearse gate,Afternoon,Sunday,57.83602876
Main gate,Morn,Tuesday,70.7694747,,Main gate,Noon,Tuesday,69.5297138,,Main gate,Afternoon,Tuesday,60.91882353,,Main gate,Morn,Wednesday,47.61527,,Main gate,Noon,Wednesday,,60.3757108,Main gate,Afternoon,Wednesday,59.99196078,,Main gate,Morn,Saturday,52.75117647,,Main gate,Noon,Saturday,62.6603026,,Main gate,Afternoon,Saturday,50.55392157,,Main gate,Morn,Sunday,59.77051283,,Main gate,Noon,Sunday,51.19002301,,Main gate,Afternoon,Sunday,48.30823529,,Nassau gate,Morn,Tuesday,56.87352933,,Nassau gate,Noon,Tuesday,76.9314,,Nassau gate,Afternoon,Tuesday,60.15093,,Nassau gate,Morn,Wednesday,60.00852041,,Nassau gate,Noon,Wednesday,69.1595131,,Nassau gate,Afternoon,Wednesday,53.62911,,Nassau gate,Morn,Saturday,62.64679774,,Nassau gate,Noon,Saturday,67.03463476,,Nassau gate,Afternoon,Saturday,64.35784998,,Nassau gate,Morn,Sunday,50.91384196,,Nassau gate,Noon,Sunday,67.2380611,,Nassau gate,Afternoon,Sunday,66.4536405,,Pearse gate,Morn,Tuesday,67.82025681,,Pearse gate,Noon,Tuesday,67.63380813,,Pearse gate,Afternoon,Tuesday,51.00428274,,Pearse gate,Morn,Wednesday,67.27256788,,Pearse gate,Noon,Wednesday,57.72392094,,Pearse gate,Afternoon,Wednesday,65.9122,,Pearse gate,Morn,Saturday,63.99754331,,Pearse gate,Noon,Saturday,60.1673648,,Pearse gate,Afternoon,Saturday,52.89348098,,Pearse gate,Morn,Sunday,54.48414891,,Pearse gate,Noon,Sunday,68.7308,,Pearse gate,Afternoon,Sunday,59.57811648
Main gate,Morn,Tuesday,69.884261,,Main gate,Noon,Tuesday,66.4292901,,Main gate,Afternoon,Tuesday,60.98313725,,Main gate,Morn,Wednesday,50.69521,,Main gate,Noon,Wednesday,,58.5674098,Main gate,Afternoon,Wednesday,56.95686275,,Main gate,Morn,Saturday,56.23803922,,Main gate,Noon,Saturday,60.5479401,,Main gate,Afternoon,Saturday,49.29098039,,Main gate,Morn,Sunday,56.69988847,,Main gate,Noon,Sunday,52.89421141,,Main gate,Afternoon,Sunday,47.89411765,,Nassau gate,Morn,Tuesday,57.11252088,,Nassau gate,Noon,Tuesday,78.6842,,Nassau gate,Afternoon,Tuesday,56.44801,,Nassau gate,Morn,Wednesday,53.65824994,,Nassau gate,Noon,Wednesday,67.923521,,Nassau gate,Afternoon,Wednesday,51.85343,,Nassau gate,Morn,Saturday,60.30925571,,Nassau gate,Noon,Saturday,64.45514765,,Nassau gate,Afternoon,Saturday,67.05128328,,Nassau gate,Morn,Sunday,51.2796034,,Nassau gate,Noon,Sunday,66.87360725,,Nassau gate,Afternoon,Sunday,65.51321287,,Pearse gate,Morn,Tuesday,67.42178311,,Pearse gate,Noon,Tuesday,63.09866164,,Pearse gate,Afternoon,Tuesday,54.41999905,,Pearse gate,Morn,Wednesday,63.21630075,,Pearse gate,Noon,Wednesday,57.25694243,,Pearse gate,Afternoon,Wednesday,68.494,,Pearse gate,Morn,Saturday,65.61770401,,Pearse gate,Noon,Saturday,64.9905462,,Pearse gate,Afternoon,Saturday,51.33350537,,Pearse gate,Morn,Sunday,53.80420017,,Pearse gate,Noon,Sunday,73.7924,,Pearse gate,Afternoon,Sunday,59.35597345
Main gate,Morn,Tuesday,67.6927853,,Main gate,Noon,Tuesday,69.3520315,,Main gate,Afternoon,Tuesday,60.38647059,,Main gate,Morn,Wednesday,50.69739,,Main gate,Noon,Wednesday,,57.9791724,Main gate,Afternoon,Wednesday,62.0354902,,Main gate,Morn,Saturday,60.05235294,,Main gate,Noon,Saturday,61.0516153,,Main gate,Afternoon,Saturday,53.35098039,,Main gate,Morn,Sunday,57.34155027,,Main gate,Noon,Sunday,62.39695851,,Main gate,Afternoon,Sunday,45.3727451,,Nassau gate,Morn,Tuesday,59.47313214,,Nassau gate,Noon,Tuesday,82.9978,,Nassau gate,Afternoon,Tuesday,56.71431,,Nassau gate,Morn,Wednesday,53.29986554,,Nassau gate,Noon,Wednesday,66.8729728,,Nassau gate,Afternoon,Wednesday,54.40923,,Nassau gate,Morn,Saturday,61.22459796,,Nassau gate,Noon,Saturday,64.82973817,,Nassau gate,Afternoon,Saturday,65.78852437,,Nassau gate,Morn,Sunday,57.02787559,,Nassau gate,Noon,Sunday,66.77426419,,Nassau gate,Afternoon,Sunday,65.19989179,,Pearse gate,Morn,Tuesday,65.57808523,,Pearse gate,Noon,Tuesday,65.26719007,,Pearse gate,Afternoon,Tuesday,52.67533804,,Pearse gate,Morn,Wednesday,64.93740143,,Pearse gate,Noon,Wednesday,56.73437717,,Pearse gate,Afternoon,Wednesday,68.2808,,Pearse gate,Morn,Saturday,59.92592723,,Pearse gate,Noon,Saturday,68.3810975,,Pearse gate,Afternoon,Saturday,52.05437202,,Pearse gate,Morn,Sunday,53.71759478,,Pearse gate,Noon,Sunday,71.8754,,Pearse gate,Afternoon,Sunday,61.37945118
Main gate,Morn,Tuesday,67.8992184,,Main gate,Noon,Tuesday,69.1595131,,Main gate,Afternoon,Tuesday,65.92,,Main gate,Morn,Wednesday,50.2547,,Main gate,Noon,Wednesday,,56.5763529,Main gate,Afternoon,Wednesday,57.51803922,,Main gate,Morn,Saturday,63.04686275,,Main gate,Noon,Saturday,60.9717432,,Main gate,Afternoon,Saturday,48.05078431,,Main gate,Morn,Sunday,56.64844052,,Main gate,Noon,Sunday,62.9277086,,Main gate,Afternoon,Sunday,50.93372549,,Nassau gate,Morn,Tuesday,56.7716285,,Nassau gate,Noon,Tuesday,81.122,,Nassau gate,Afternoon,Tuesday,58.14043,,Nassau gate,Morn,Wednesday,61.20181673,,Nassau gate,Noon,Wednesday,65.7652231,,Nassau gate,Afternoon,Wednesday,60.24942,,Nassau gate,Morn,Saturday,61.10749896,,Nassau gate,Noon,Saturday,60.16451631,,Nassau gate,Afternoon,Saturday,62.96533371,,Nassau gate,Morn,Sunday,52.59332533,,Nassau gate,Noon,Sunday,68.71745738,,Nassau gate,Afternoon,Sunday,65.57230922,,Pearse gate,Morn,Tuesday,67.09428581,,Pearse gate,Noon,Tuesday,67.02750418,,Pearse gate,Afternoon,Tuesday,51.09713356,,Pearse gate,Morn,Wednesday,64.8094098,,Pearse gate,Noon,Wednesday,59.359258,,Pearse gate,Afternoon,Wednesday,67.6374,,Pearse gate,Morn,Saturday,56.65832391,,Pearse gate,Noon,Saturday,59.376997,,Pearse gate,Afternoon,Saturday,55.86381223,,Pearse gate,Morn,Sunday,55.42991085,,Pearse gate,Noon,Sunday,75.4918,,Pearse gate,Afternoon,Sunday,57.81617219
Main gate,Morn,Tuesday,66.5433261,,Main gate,Noon,Tuesday,67.923521,,Main gate,Afternoon,Tuesday,64.43882353,,Main gate,Morn,Wednesday,50.79074,,Main gate,Noon,Wednesday,,55.6231088,Main gate,Afternoon,Wednesday,60.21784314,,Main gate,Morn,Saturday,58.29843137,,Main gate,Noon,Saturday,58.2702622,,Main gate,Afternoon,Saturday,49.66235294,,Main gate,Morn,Sunday,56.75546883,,Main gate,Noon,Sunday,58.79432566,,Main gate,Afternoon,Sunday,48.31392157,,Nassau gate,Morn,Tuesday,56.00148208,,Nassau gate,Noon,Tuesday,80.2756,,Nassau gate,Afternoon,Tuesday,59.25657,,Nassau gate,Morn,Wednesday,62.27068486,,Nassau gate,Noon,Wednesday,64.3161775,,Nassau gate,Afternoon,Wednesday,57.72906,,Nassau gate,Morn,Saturday,65.19485588,,Nassau gate,Noon,Saturday,61.75407832,,Nassau gate,Afternoon,Saturday,61.14800917,,Nassau gate,Morn,Sunday,53.14565432,,Nassau gate,Noon,Sunday,64.97630014,,Nassau gate,Afternoon,Sunday,68.16746062,,Pearse gate,Morn,Tuesday,70.88626864,,Pearse gate,Noon,Tuesday,60.74509862,,Pearse gate,Afternoon,Tuesday,49.02727959,,Pearse gate,Morn,Wednesday,66.09323593,,Pearse gate,Noon,Wednesday,59.1920462,,Pearse gate,Afternoon,Wednesday,69.6788,,Pearse gate,Morn,Saturday,56.60556579,,Pearse gate,Noon,Saturday,59.7162931,,Pearse gate,Afternoon,Saturday,53.38316736,,Pearse gate,Morn,Sunday,59.68202859,,Pearse gate,Noon,Sunday,72.152,,Pearse gate,Afternoon,Sunday,58.05326085
Main gate,Morn,Tuesday,66.9740486,,Main gate,Noon,Tuesday,66.8729728,,Main gate,Afternoon,Tuesday,63.19647059,,Main gate,Morn,Wednesday,53.26022,,Main gate,Noon,Wednesday,,55.7791951,Main gate,Afternoon,Wednesday,57.60137255,,Main gate,Morn,Saturday,54.77509804,,Main gate,Noon,Saturday,57.6685063,,Main gate,Afternoon,Saturday,46.80980392,,Main gate,Morn,Sunday,55.0597727,,Main gate,Noon,Sunday,58.37957872,,Main gate,Afternoon,Sunday,52.85862745,,Nassau gate,Morn,Tuesday,54.57085423,,Nassau gate,Noon,Tuesday,78.3276,,Nassau gate,Afternoon,Tuesday,57.70045,,Nassau gate,Morn,Wednesday,61.81860618,,Nassau gate,Noon,Wednesday,64.5727521,,Nassau gate,Afternoon,Wednesday,55.81724,,Nassau gate,Morn,Saturday,63.37535786,,Nassau gate,Noon,Saturday,59.54352818,,Nassau gate,Afternoon,Saturday,64.22223417,,Nassau gate,Morn,Sunday,55.41461559,,Nassau gate,Noon,Sunday,63.71534081,,Nassau gate,Afternoon,Sunday,64.53789046,,Pearse gate,Morn,Tuesday,66.54555853,,Pearse gate,Noon,Tuesday,60.32597952,,Pearse gate,Afternoon,Tuesday,53.71723031,,Pearse gate,Morn,Wednesday,67.88328437,,Pearse gate,Noon,Wednesday,57.87574234,,Pearse gate,Afternoon,Wednesday,66.4272,,Pearse gate,Morn,Saturday,60.25843748,,Pearse gate,Noon,Saturday,58.2163135,,Pearse gate,Afternoon,Saturday,54.87449898,,Pearse gate,Morn,Sunday,58.16435868,,Pearse gate,Noon,Sunday,69.663,,Pearse gate,Afternoon,Sunday,57.94321081
Main gate,Morn,Tuesday,65.4306083,,Main gate,Noon,Tuesday,65.7652231,,Main gate,Afternoon,Tuesday,67.32627451,,Main gate,Morn,Wednesday,54.33139,,Main gate,Noon,Wednesday,,58.6008816,Main gate,Afternoon,Wednesday,61.99647059,,Main gate,Morn,Saturday,58.16137255,,Main gate,Noon,Saturday,59.0099526,,Main gate,Afternoon,Saturday,48.04647059,,Main gate,Morn,Sunday,56.70732594,,Main gate,Noon,Sunday,63.18735726,,Main gate,Afternoon,Sunday,55.14196078,,Nassau gate,Morn,Tuesday,55.28437612,,Nassau gate,Noon,Tuesday,76.9792,,Nassau gate,Afternoon,Tuesday,61.44849,,Nassau gate,Morn,Wednesday,60.69333839,,Nassau gate,Noon,Wednesday,64.591452,,Nassau gate,Afternoon,Wednesday,55.23447,,Nassau gate,Morn,Saturday,63.62714425,,Nassau gate,Noon,Saturday,61.62553449,,Nassau gate,Afternoon,Saturday,61.57355141,,Nassau gate,Morn,Sunday,53.64098324,,Nassau gate,Noon,Sunday,62.16194475,,Nassau gate,Afternoon,Sunday,64.3530475,,Pearse gate,Morn,Tuesday,68.65909199,,Pearse gate,Noon,Tuesday,61.16459473,,Pearse gate,Afternoon,Tuesday,59.32367451,,Pearse gate,Morn,Wednesday,62.78336739,,Pearse gate,Noon,Wednesday,55.56109262,,Pearse gate,Afternoon,Wednesday,67.0526,,Pearse gate,Morn,Saturday,61.24226134,,Pearse gate,Noon,Saturday,58.5761077,,Pearse gate,Afternoon,Saturday,54.39462693,,Pearse gate,Morn,Sunday,56.30818893,,Pearse gate,Noon,Sunday,66.1458,,Pearse gate,Afternoon,Sunday,56.21934071
Main gate,Morn,Tuesday,64.6575634,,Main gate,Noon,Tuesday,64.3161775,,Main gate,Afternoon,Tuesday,66.62803922,,Main gate,Morn,Wednesday,61.72794,,Main gate,Noon,Wednesday,,60.8983887,Main gate,Afternoon,Wednesday,66.71901961,,Main gate,Morn,Saturday,61.16764706,,Main gate,Noon,Saturday,57.8327998,,Main gate,Afternoon,Saturday,48.2072549,,Main gate,Morn,Sunday,56.52052093,,Main gate,Noon,Sunday,59.85275022,,Main gate,Afternoon,Sunday,56.97588235,,Nassau gate,Morn,Tuesday,53.09658316,,Nassau gate,Noon,Tuesday,73.0044,,Nassau gate,Afternoon,Tuesday,58.15797,,Nassau gate,Morn,Wednesday,58.39693748,,Nassau gate,Noon,Wednesday,64.782223,,Nassau gate,Afternoon,Wednesday,55.3077,,Nassau gate,Morn,Saturday,62.80301326,,Nassau gate,Noon,Saturday,63.33427268,,Nassau gate,Afternoon,Saturday,59.78393685,,Nassau gate,Morn,Sunday,51.85525208,,Nassau gate,Noon,Sunday,61.47412085,,Nassau gate,Afternoon,Sunday,68.84260181,,Pearse gate,Morn,Tuesday,67.77300032,,Pearse gate,Noon,Tuesday,60.25993304,,Pearse gate,Afternoon,Tuesday,63.76915709,,Pearse gate,Morn,Wednesday,65.25822473,,Pearse gate,Noon,Wednesday,56.21468577,,Pearse gate,Afternoon,Wednesday,68.6596,,Pearse gate,Morn,Saturday,67.09200914,,Pearse gate,Noon,Saturday,68.3023217,,Pearse gate,Afternoon,Saturday,53.3675034,,Pearse gate,Morn,Sunday,56.90921322,,Pearse gate,Noon,Sunday,65.8958,,Pearse gate,Afternoon,Sunday,56.96547554
